"","species","long","lat","area","habitat"
"180","bengalensis",73.72414087,15.72646276,"Tiracol","mangrove"
"182","vidua",73.65530139,15.74259608,"Varachiker","rocky"
"183","bengalensis",73.68454308,15.75374493,"Mhartale","mangrove"
"184","bengalensis",73.68381822,15.75375139,"Mhartale","mangrove"
"186","bengalensis",73.65952956,15.79444226,"Tank","mangrove"
"187","bengalensis",73.62515084,15.85899599,"Vengurla","mangrove"
"188","vidua",73.5909785,15.90370799,"Kelus","rocky"
"189","undulata",73.5906967,15.90440109,"Kelus","rocky"
"190","undulata",73.45640796,16.06100941,"Dhuriwada","rocky"
"191","malaccana",73.45585593,16.06158684,"Dhuriwada","rocky"
"193","vidua",73.45555443,16.06174584,"Dhuriwada","rocky"
"194","vidua",73.45563188,16.06175523,"Dhuriwada","rocky"
"196","carinifera",73.46897738,16.07389684,"Kolamb","mangrove"
"198","undulata",73.4580576,16.08555045,"Sarjekot","rocky"
"199","malaccana",73.45821912,16.08559923,"Sarjekot","rocky"
"200","undulata",73.45760289,16.08602461,"Sarjekot","rocky"
"201","undulata",73.45735361,16.08617415,"Sarjekot","rocky"
"202","bengalensis",73.44281369,16.20417232,"Achara Bandar","mangrove"
"203","bengalensis",73.42192439,16.28491561,"Morve","mangrove"
"204","undulata",73.39103155,16.33379275,"Kunkeshwar","rocky"
"205","undulata",73.39136322,16.33383357,"Kunkeshwar","rocky"
"206","undulata",73.39051698,16.33414236,"Kunkeshwar","rocky"
"207","bengalensis",73.39408139,16.35553323,"Mith Mumbri","mangrove"
"208","bengalensis",73.3940223,16.35574185,"Mith Mumbri","mangrove"
"209","bengalensis",73.39324705,16.35621686,"Mith Mumbri","mangrove"
"210","bengalensis",73.36245957,16.4423223,"Phanase","mangrove"
"211","bengalensis",73.36234884,16.4429574,"Phanase","mangrove"
"212","bengalensis",73.36098251,16.4430092,"Phanase","mangrove"
"213","undulata",73.34235859,16.47420773,"Girye","rocky"
"214","undulata",73.34234183,16.47440672,"Girye","rocky"
"215","undulata",73.34233319,16.47449498,"Girye","rocky"
"217","undulata",73.3391619,16.47992201,"Girye","rocky"
"218","bengalensis",73.35970343,16.54156873,"Shirse","mangrove"
"219","undulata",73.33136246,16.55624167,"Vijaydurg","rocky"
"220","undulata",73.33165381,16.55633152,"Vijaydurg","rocky"
"221","undulata",73.3368749,16.63850812,"Ambolgad","rocky"
"226","undulata",73.33439796,16.64028777,"Ambolgad","rocky"
"227","undulata",73.31485296,16.80689729,"Purnagad","mixed"
"229","bengalensis",73.32111541,16.80696401,"Purnagad","mixed"
"231","undulata",73.31573088,16.80702469,"Purnagad","mixed"
"233","bengalensis",73.29868829,16.86086141,"Ganeshgule_mangrove","mangrove"
"234","undulata",73.2908378,16.87089404,"Ganeshgule_rocky","rocky"
"235","undulata",73.29157373,16.8712615,"Ganeshgule_rocky","rocky"
"236","bengalensis",73.31204921,16.89329644,"Ranpur","mangrove"
"237","bengalensis",73.31200093,16.89341588,"Ranpur","mangrove"
"238","carinifera",73.05081706,17.90675864,"Kelshi","mixed"
"239","carinifera",73.05076366,17.90689853,"Kelshi","mixed"
"241","strigata",73.0510582,17.90701127,"Kelshi","mixed"
"242","undulata",73.0517632,17.90706684,"Kelshi","mixed"
"245","bengalensis",73.05194115,17.90710757,"Kelshi","mixed"
"248","malaccana",73.01897404,17.99265135,"Harihareshwar","rocky"
"251","carinifera",72.99491093,18.18495903,"Divegar","mangrove"
"252","malaccana",72.96867449,18.20538145,"Velas","mixed"
"253","strigata",72.96794484,18.20565127,"Velas","mixed"
"254","malaccana",72.95109177,18.33585156,"Murud","rocky"
"256","strigata",72.93183854,18.54341464,"Revdanda","mangrove"
"257","strigata",72.93250255,18.54380155,"Revdanda","mangrove"
"258","strigata",72.93254622,18.54382167,"Revdanda","mangrove"
"259","strigata",72.86448106,18.65467284,"Varsoi/Alibag","rocky"
"260","vidua",72.86438207,18.65544615,"Varsoi/Alibag","rocky"
"263","carinifera",72.73396058,19.62764039,"Dadarpada","mangrove"
"264","carinifera",72.73421128,19.62765858,"Dadarpada","mangrove"
"265","carinifera",72.7336279,19.62768615,"Dadarpada","mangrove"
"266","carinifera",72.65343346,19.84853111,"Ghivali","mixed"
"270","strigata",72.65377569,19.84960106,"Ghivali","mixed"
"271","malaccana",72.71087665,20.02535943,"Narpad","mixed"
"272","strigata",72.71118779,20.02569269,"Narpad","mixed"
"273","carinifera",72.71262864,20.02646064,"Narpad","mixed"
"276","carinifera",72.71290071,20.02662158,"Narpad","mixed"
