"species","long","lat","area","habitat"
"melanostoma",101.366979,3.048387,"10 km N of Port Kelang","mangrove"
"bengalensis",98.357197,9.231565,"70 km S Ranong","mangrove"
"strigata",80.264741,13.012092,"Adyar river estuary","mangrove"
"pallescens",46.427812,-9.421036,"Aldabra Atoll","mangrove"
"carinifera",122.321044,12.555107,"Alfonso XIII island","mangrove"
"bengalensis",76.314995,9.507188,"Alleppey","mangrove"
"pallescens",128.201748,-3.658892,"Ambon island","mangrove"
"melanostoma",118.073661,24.570409,"Amoy","mangrove"
"pallescens",92.745008,11.640823,"Andaman islands","mangrove"
"bengalensis",98.39162,7.850682,"Ao Nam Bor","mangrove"
"pallescens",134.524108,7.493661,"Babelthuap islands","mangrove"
"pallescens",116.806165,-1.274335,"Balikpapan","mangrove"
"pallescens",114.995481,4.904967,"Bandar Seri Begawan","mangrove"
"carinifera",72.822523,19.06463,"Bandra","mangrove"
"pallescens",100.98553,13.498305,"Bang Pakong R","mangrove"
"strigata",100.927634,12.607978,"Bang Saen","mangrove"
"bengalensis",100.281848,5.266392,"Batu Maung","mangrove"
"bengalensis",98.702108,3.770447,"Belawan ","mangrove"
"carinifera",105.75978,-1.647336,"Belinju","mangrove"
"pallescens",127.775082,-14.347342,"Berkeley River","mangrove"
"carinifera",75.818686,11.182752,"Beypore estuary","mangrove"
"pallescens",124.227257,-10.155538,"Bolang","mangrove"
"pallescens",122.245832,-17.951625,"Broome","mangrove"
"carinifera",119.919386,12.154245,"Busuanga island","mangrove"
"strigata",120.884799,14.452545,"Cavite","mangrove"
"pallescens",102.065355,12.484976,"Chataburi","mangrove"
"bengalensis",72.79783,18.94703,"Chaupati Beach","mangrove"
"carinifera",107.075465,10.374008,"Chilins","mangrove"
"carinifera",66.966232,24.809793,"China Creek","mangrove"
"carinifera",100.982976,13.393148,"Chonburi","mangrove"
"pallescens",39.21303,-6.242677,"Chukwani","mangrove"
"bengalensis",76.239474,9.973659,"Cochin Harbour","mangrove"
"pallescens",96.860531,-12.194022,"Cocos Keeling islands","mangrove"
"pallescens",106.767177,-6.100884,"Djakarta Bay","mangrove"
"strigata",110.644999,-6.583149,"Djepara","mangrove"
"melanostoma",106.801707,20.676475,"Do Son","mangrove"
"pallescens",146.149435,-17.950737,"Dunk island","mangrove"
"carinifera",103.613951,2.658168,"Endau","mangrove"
"carinifera",116.045441,6.015036,"Gaya Island","mangrove"
"bengalensis",98.603695,9.939099,"Goh Contee","mangrove"
"pallescens",136.753899,-12.164776,"Gove peninsula","mangrove"
"pallescens",136.410094,-13.847456,"Groote Eylandt","mangrove"
"pallescens",130.565797,-12.581691,"Grose island","mangrove"
"strigata",79.900344,8.952959,"Gulf of Mannar","mangrove"
"melanostoma",109.491112,18.22572,"Hainandao island","mangrove"
"bengalensis",78.179784,8.766588,"Hare Island","mangrove"
"pallescens",40.594462,-12.351561,"Ibo Island","mangrove"
"pallescens",122.589549,10.69926,"Iloilo","mangrove"
"pallescens",136.241032,-1.888833,"Japen island","mangrove"
"carinifera",103.972898,1.406299,"Jelutong","mangrove"
"pallescens",124.144022,24.462745,"Kabria Bay","mangrove"
"pallescens",127.490577,1.668848,"Kahatola island","mangrove"
"melanostoma",99.478068,9.210515,"Kanchanadit","mangrove"
"strigata",100.902214,13.315523,"Kao Sam Muk","mangrove"
"bengalensis",98.418878,12.434709,"King Island","mangrove"
"carinifera",102.544875,11.6377,"Ko Kut","mangrove"
"pallescens",115.184399,-8.743823,"Koeta beach","mangrove"
"pallescens",136.447502,-4.716652,"Kokenau","mangrove"
"melanostoma",103.736872,1.441297,"Kranji","mangrove"
"bengalensis",79.208252,9.248944,"Krusadai Island","mangrove"
"bengalensis",99.828439,6.324649,"Kuah","mangrove"
"melanostoma",101.236973,3.339117,"Kuala Selangor","mangrove"
"carinifera",103.335106,3.806396,"Kuantan","mangrove"
"pallescens",116.817073,6.890478,"Kudat Bay","mangrove"
"carinifera",115.220703,5.27401,"Labuan island","mangrove"
"pallescens",123.012893,-8.278897,"Larantuka","mangrove"
"carinifera",116.070962,-8.736696,"Lembar","mangrove"
